Date,Site,ppt
9/7/17 0:00,M,14.1105
9/7/17 4:00,M,14.1238
9/7/17 8:00,M,14.1466
9/7/17 12:00,M,14.1453
9/7/17 16:00,M,14.1417
9/7/17 20:00,M,14.1385
9/8/17 0:00,M,14.1463
9/8/17 4:00,M,14.1691
9/8/17 8:00,M,14.1866
9/8/17 12:00,M,14.194
9/8/17 16:00,M,14.1851
9/8/17 20:00,M,14.1815
9/9/17 0:00,M,14.1551
9/9/17 4:00,M,14.1859
9/9/17 8:00,M,14.2128
9/9/17 12:00,M,14.2049
9/9/17 16:00,M,14.198
9/9/17 20:00,M,14.1939
9/10/17 0:00,M,14.2035
9/10/17 4:00,M,14.2243
9/10/17 8:00,M,14.246
9/10/17 12:00,M,14.2531
9/10/17 16:00,M,14.2383
9/10/17 20:00,M,14.2337
9/11/17 0:00,M,14.2303
9/11/17 4:00,M,14.2553
9/11/17 8:00,M,14.2725
9/11/17 12:00,M,14.2669
9/11/17 16:00,M,14.2618
9/11/17 20:00,M,14.2602
9/12/17 0:00,M,14.254
9/12/17 4:00,M,14.2624
9/12/17 8:00,M,14.2669
9/12/17 12:00,M,14.2729
9/12/17 16:00,M,14.2637
9/12/17 20:00,M,14.2717
9/13/17 0:00,M,14.2584
9/13/17 4:00,M,14.2605
9/13/17 8:00,M,14.2523
9/13/17 12:00,M,14.2521
9/13/17 16:00,M,14.2502
9/13/17 20:00,M,14.2492
9/14/17 0:00,M,14.2426
9/14/17 4:00,M,14.228
9/14/17 8:00,M,14.2328
9/14/17 12:00,M,14.2346
9/14/17 16:00,M,14.2311
9/14/17 20:00,M,14.2321
9/15/17 0:00,M,14.2211
9/15/17 4:00,M,14.2194
9/15/17 8:00,M,14.2116
9/15/17 12:00,M,14.2166
9/15/17 16:00,M,14.215
9/15/17 20:00,M,14.2186
9/16/17 0:00,M,14.2074
9/16/17 4:00,M,14.2187
9/16/17 8:00,M,14.2414
9/16/17 12:00,M,14.2334
9/16/17 16:00,M,14.2406
9/16/17 20:00,M,14.2267
9/17/17 0:00,M,14.2298
9/17/17 4:00,M,14.2134
9/17/17 8:00,M,14.2215
9/17/17 12:00,M,14.2244
9/17/17 16:00,M,14.2181
9/17/17 20:00,M,14.2234
9/18/17 0:00,M,14.2182
9/18/17 4:00,M,14.213
9/18/17 8:00,M,14.22
9/18/17 12:00,M,14.2289
9/18/17 16:00,M,14.2217
9/18/17 20:00,M,14.2214
9/19/17 0:00,M,14.2148
9/19/17 4:00,M,14.2164
9/19/17 8:00,M,14.2279
9/19/17 12:00,M,14.2316
9/19/17 16:00,M,14.2308
9/19/17 20:00,M,14.2224
9/20/17 0:00,M,14.2328
9/20/17 4:00,M,14.2207
9/20/17 8:00,M,14.2247
9/20/17 12:00,M,14.2187
9/20/17 16:00,M,14.2251
9/20/17 20:00,M,14.2224
9/21/17 0:00,M,14.2226
9/21/17 4:00,M,14.2134
9/21/17 8:00,M,14.2119
9/21/17 12:00,M,14.2005
9/21/17 16:00,M,14.2025
9/21/17 20:00,M,14.1936
9/22/17 0:00,M,14.1993
9/22/17 4:00,M,14.1939
9/22/17 8:00,M,14.1878
9/22/17 12:00,M,14.1849
9/22/17 16:00,M,14.1818
9/22/17 20:00,M,14.1815
9/23/17 0:00,M,14.1821
9/23/17 4:00,M,14.1892
9/23/17 8:00,M,14.207
9/23/17 12:00,M,14.2033
9/23/17 16:00,M,14.2065
9/23/17 20:00,M,14.2029
9/24/17 0:00,M,14.1952
9/24/17 4:00,M,14.1895
9/24/17 8:00,M,14.1994
7/12/17 12:00,F,4.6561
7/12/17 16:00,F,4.7909
7/12/17 20:00,F,4.8891
7/13/17 0:00,F,4.9003
7/13/17 4:00,F,4.9299
7/13/17 8:00,F,4.9753
7/13/17 12:00,F,4.9774
7/13/17 16:00,F,4.9749
7/13/17 20:00,F,4.971
7/14/17 0:00,F,4.9727
7/14/17 4:00,F,4.9751
7/14/17 8:00,F,4.9719
7/14/17 12:00,F,4.9737
7/14/17 16:00,F,4.9709
7/14/17 20:00,F,4.9771
7/15/17 0:00,F,4.9756
7/15/17 4:00,F,4.9749
7/15/17 8:00,F,4.9717
7/15/17 12:00,F,4.9707
7/15/17 16:00,F,4.9767
7/15/17 20:00,F,4.9793
7/16/17 0:00,F,4.9792
7/16/17 4:00,F,4.9805
7/16/17 8:00,F,4.9814
7/16/17 12:00,F,4.9793
7/16/17 16:00,F,4.98
7/16/17 20:00,F,4.9819
7/17/17 0:00,F,4.9824
7/17/17 4:00,F,4.9842
7/17/17 8:00,F,4.9834
7/17/17 12:00,F,4.9841
7/17/17 16:00,F,4.9823
7/17/17 20:00,F,4.9846
7/18/17 0:00,F,4.987
7/18/17 4:00,F,4.9866
7/18/17 8:00,F,4.9875
7/18/17 12:00,F,4.987
7/18/17 16:00,F,4.9881
7/18/17 20:00,F,4.9906
7/19/17 0:00,F,4.9924
7/19/17 4:00,F,4.9925
7/19/17 8:00,F,4.9916
7/19/17 12:00,F,4.99
7/19/17 16:00,F,4.9928
7/19/17 20:00,F,4.9964
7/20/17 0:00,F,4.9982
7/20/17 4:00,F,4.9949
7/20/17 8:00,F,4.9924
7/20/17 12:00,F,4.9936
7/20/17 16:00,F,4.9926
7/20/17 20:00,F,4.9974
7/21/17 0:00,F,4.9981
7/21/17 4:00,F,4.997
7/21/17 8:00,F,4.9967
7/21/17 12:00,F,4.9953
7/21/17 16:00,F,4.9953
7/21/17 20:00,F,4.9982
7/22/17 0:00,F,4.9982
7/22/17 4:00,F,4.9977
7/22/17 8:00,F,4.997
7/22/17 12:00,F,4.995
7/22/17 16:00,F,4.9956
7/22/17 20:00,F,4.9979
7/23/17 0:00,F,4.9986
7/23/17 4:00,F,4.997
