Site,Number,Treatment,Spp,TIME_1,STATUS_1,TIME_2,STATUS_2,TIME_F,STATUS_F
F,17,CG,PA,121,1,88,1,449,1
F,18,CT,IF,121,1,88,1,449,1
F,18,CT,BH,121,1,88,1,449,1
F,18,CT,PV,121,1,88,1,449,1
F,18,CT,PA,121,1,88,1,449,1
F,18,CC,IF,121,1,88,1,449,1
F,18,CC,BH,121,1,88,1,449,1
F,18,CC,PV,121,1,88,1,449,1
F,18,CC,PA,41,2,19,2,60,2
F,18,CG,IF,121,1,88,1,449,1
F,18,CG,BH,121,1,88,1,449,1
F,18,CG,PV,121,1,88,1,449,1
F,18,CG,PA,121,1,88,1,449,1
F,19,CT,IF,121,1,88,1,449,1
F,19,CT,BH,121,1,45,2,406,2
F,19,CT,PV,121,1,88,1,449,1
F,19,CT,PA,121,1,45,2,406,2
F,19,CC,IF,121,1,88,1,449,1
F,19,CC,BH,121,1,88,1,449,1
F,19,CC,PV,121,1,88,1,449,1
F,19,CC,PA,41,2,0,2,41,2
F,19,CG,IF,121,1,88,1,449,1
F,19,CG,BH,121,1,88,1,449,1
F,19,CG,PV,121,1,88,1,449,1
F,19,CG,PA,121,1,88,1,449,1
F,20,CT,IF,121,1,88,1,449,1
F,20,CT,BH,121,1,88,1,449,1
F,20,CT,PV,121,1,88,1,449,1
F,20,CT,PA,121,1,88,1,449,1
F,20,CC,IF,121,1,88,1,449,1
F,20,CC,BH,121,1,0,2,241,2
F,20,CC,PV,121,1,88,1,449,1
F,20,CC,PA,121,1,88,1,449,1
F,20,CG,IF,121,1,88,1,449,1
F,20,CG,BH,121,1,88,1,449,1
F,20,CG,PV,121,1,88,1,449,1
F,20,CG,PA,121,1,88,1,449,1
M,1,CT,IF,121,1,88,1,449,1
M,1,CT,BH,5,2,0,2,5,2
M,1,CT,PV,5,2,0,2,5,2
M,1,CT,PA,120,2,88,1,208,2
M,1,CC,IF,99,2,88,1,187,2
M,1,CC,BH,5,2,0,2,5,2
M,1,CC,PV,20,2,12,2,32,2
M,1,CC,PA,121,1,88,1,449,1
M,1,CG,IF,121,1,88,1,449,1
M,1,CG,BH,5,2,12,2,17,2
M,1,CG,PV,121,1,34,2,395,2
M,1,CG,PA,121,1,88,1,449,1
M,2,CT,IF,121,1,88,1,449,1
M,2,CT,BH,5,2,0,2,5,2
M,2,CT,PV,121,1,88,1,449,1
M,2,CT,PA,121,1,88,1,449,1
M,2,CC,IF,121,1,88,1,449,1
M,2,CC,BH,14,2,88,1,102,2
M,2,CC,PV,121,1,81,2,442,2
M,2,CC,PA,121,1,88,1,449,1
M,2,CG,IF,14,2,88,1,102,2
M,2,CG,BH,14,2,0,2,14,2
M,2,CG,PV,121,1,72,2,433,2
M,2,CG,PA,121,1,88,1,449,1
M,3,CT,IF,121,1,88,1,449,1
M,3,CT,BH,121,1,88,1,449,1
M,3,CT,PV,121,1,88,1,449,1
M,3,CT,PA,121,1,88,1,449,1
M,3,CC,IF,121,1,88,1,449,1
M,3,CC,BH,34,2,0,2,34,2
M,3,CC,PV,121,1,88,1,449,1
M,3,CC,PA,121,1,88,1,449,1
M,3,CG,IF,121,1,88,1,449,1
M,3,CG,BH,14,2,0,2,14,2
M,3,CG,PV,121,1,88,1,449,1
M,3,CG,PA,121,1,88,1,449,1
M,4,CT,IF,121,1,88,1,449,1
M,4,CT,BH,5,2,0,2,5,2
M,4,CT,PV,121,1,88,1,449,1
M,4,CT,PA,121,1,88,1,449,1
M,4,CC,IF,121,1,88,1,449,1
M,4,CC,BH,5,2,0,2,5,2
M,4,CC,PV,121,1,88,1,449,1
M,4,CC,PA,121,1,88,1,449,1
M,4,CG,IF,121,1,88,1,449,1
M,4,CG,BH,5,2,0,2,5,2
M,4,CG,PV,121,1,88,1,449,1
M,4,CG,PA,121,1,88,1,449,1
M,5,CT,IF,121,1,88,1,449,1
M,5,CT,BH,5,2,0,2,5,2
M,5,CT,PV,34,2,19,2,53,2
M,5,CT,PA,121,1,88,1,449,1
M,5,CC,IF,120,2,88,1,208,2
M,5,CC,BH,76,2,0,2,76,2
M,5,CC,PV,121,1,88,1,449,1
M,5,CC,PA,41,2,12,2,53,2
M,5,CG,IF,121,1,88,1,449,1
M,5,CG,BH,5,2,0,2,5,2
M,5,CG,PV,121,1,88,1,449,1
M,5,CG,PA,121,1,59,2,420,2
M,6,CT,IF,121,1,88,1,449,1
M,6,CT,BH,26,2,0,2,26,2
M,6,CT,PV,121,1,88,1,449,1
M,6,CT,PA,121,1,88,1,449,1
M,6,CC,IF,121,1,88,1,449,1
M,6,CC,BH,34,2,0,2,34,2
M,6,CC,PV,121,1,88,1,449,1
M,6,CC,PA,121,1,88,1,449,1
M,6,CG,IF,121,1,88,1,449,1
M,6,CG,BH,120,2,0,2,120,2
M,6,CG,PV,121,1,88,1,449,1
M,6,CG,PA,121,1,88,1,449,1
M,7,CT,IF,121,1,88,1,449,1
M,7,CT,BH,20,2,0,2,20,2
M,7,CT,PV,121,1,88,1,449,1
M,7,CT,PA,120,2,0,2,120,2
M,7,CC,IF,121,1,88,1,449,1
M,7,CC,BH,121,1,88,1,449,1
M,7,CC,PV,121,1,88,1,449,1
M,7,CC,PA,121,1,88,1,449,1
M,7,CG,IF,121,1,88,1,449,1
M,7,CG,BH,76,2,19,2,95,2
M,7,CG,PV,121,1,88,1,449,1
M,7,CG,PA,121,1,88,1,449,1
M,8,CT,IF,48,2,88,1,136,2
M,8,CT,BH,14,2,0,2,14,2
M,8,CT,PV,121,1,88,1,449,1
M,8,CT,PA,121,1,88,1,449,1
M,8,CC,IF,121,1,88,1,449,1
M,8,CC,BH,20,2,0,2,20,2
M,8,CC,PV,34,2,88,1,122,2
M,8,CC,PA,121,1,88,1,449,1
M,8,CG,IF,121,1,88,1,449,1
M,8,CG,BH,20,2,0,2,20,2
M,8,CG,PV,26,2,0,2,26,2
M,8,CG,PA,121,1,88,1,449,1
M,9,CT,IF,121,1,88,1,449,1
M,9,CT,BH,121,1,0,2,241,2
M,9,CT,PV,121,1,88,1,449,1
M,9,CT,PA,121,1,88,1,449,1
M,9,CC,IF,121,1,88,1,449,1
M,9,CC,BH,121,1,72,2,433,2
M,9,CC,PV,120,2,88,1,208,2
M,9,CC,PA,121,1,0,2,241,2
M,9,CG,IF,121,1,88,1,449,1
M,9,CG,BH,121,1,88,1,449,1
M,9,CG,PV,121,1,88,1,449,1
M,9,CG,PA,121,1,12,2,373,2
M,10,CT,IF,121,1,88,1,449,1
M,10,CT,BH,14,2,0,2,14,2
M,10,CT,PV,14,2,88,1,102,2
M,10,CT,PA,20,2,0,2,20,2
M,10,CC,IF,121,1,88,1,449,1
M,10,CC,BH,20,2,19,2,39,2
M,10,CC,PV,121,1,88,1,449,1
M,10,CC,PA,121,1,88,1,449,1
M,10,CG,IF,121,1,88,1,449,1
M,10,CG,BH,48,2,12,2,60,2
M,10,CG,PV,121,1,88,1,449,1
M,10,CG,PA,121,1,88,1,449,1
M,11,CT,IF,121,1,88,1,449,1
M,11,CT,BH,48,2,0,2,48,2
M,11,CT,PV,34,2,88,1,122,2
M,11,CT,PA,121,1,0,2,241,2
