Year,Site,Number,Meter Light PPFD,Pendent Light LUX,Pendent Light PPFD,,light
2018,M,14,1239,9216,1704.96,0.726703266,72.67032658
2018,M,14,1445,9216,1704.96,0.847527215,84.75272147
2018,M,14,1345,9216,1704.96,0.788874812,78.88748123
2018,M,15,900,9216,1704.96,0.527871622,52.78716216
2018,M,15,1212,9216,1704.96,0.710867117,71.08671171
2018,M,15,1324,9216,1704.96,0.776557808,77.65578078
2018,M,15,1234,9216,1704.96,0.723770646,72.37706456
2018,M,15,1450,9216,1704.96,0.850459835,85.04598348
2018,M,15,1434,9216,1704.96,0.84107545,84.10754505
2018,M,16,1200,9216,1704.96,0.703828829,70.38288288
2018,M,16,1236,9216,1704.96,0.724943694,72.49436937
2018,M,16,1345,9216,1704.96,0.788874812,78.88748123
2018,M,16,1278,9216,1704.96,0.749577703,74.95777027
2018,M,16,1390,9216,1704.96,0.815268393,81.52683934
2018,M,16,1345,9216,1704.96,0.788874812,78.88748123
2018,M,17,1569,9216,1704.96,0.920256194,92.02561937
2018,M,17,1673,9216,1704.96,0.981254692,98.12546922
2018,M,17,1221,9216,1704.96,0.716145833,71.61458333
2018,M,17,1269,9216,1704.96,0.744298986,74.42989865
2018,M,17,1100,9216,1704.96,0.645176426,64.51764264
2018,M,17,1349,9216,1704.96,0.791220908,79.12209084
2018,M,18,1456,9216,1704.96,0.853978979,85.3978979
2018,M,18,1390,9216,1704.96,0.815268393,81.52683934
2018,M,18,1053,9216,1704.96,0.617609797,61.76097973
2018,M,18,1392,9216,1704.96,0.816441441,81.64414414
2018,M,18,1205,9216,1704.96,0.706761449,70.67614489
2018,M,18,1360,9216,1704.96,0.797672673,79.76726727
2018,M,19,1289,9216,1704.96,0.756029467,75.6029467
2018,M,19,1394,9216,1704.96,0.817614489,81.76144895
2018,M,19,1462,9216,1704.96,0.857498123,85.74981231
2018,M,19,1328,9216,1704.96,0.778903904,77.89039039
2018,M,19,1423,9216,1704.96,0.834623686,83.46236862
2018,M,19,1203,9216,1704.96,0.705588401,70.55884009
2018,M,20,1025,9216,1704.96,0.601187125,60.11871246
2018,M,20,900,9216,1704.96,0.527871622,52.78716216
2018,M,20,1267,9216,1704.96,0.743125938,74.31259384
2018,M,20,1395,9216,1704.96,0.818201014,81.82010135
2018,M,20,1321,9216,1704.96,0.774798236,77.47982357
2018,M,20,1205,9216,1704.96,0.706761449,70.67614489
